mseq,Index,S
602,601,-7.1553693
603,602,-5.3291554
604,603,-8.1562881
605,604,-7.9857125
606,605,-8.2848692
607,606,-8.6674318
608,607,-5.881278
609,608,-8.1981268
610,609,-8.6820412
611,610,-8.5247955
612,611,-8.7747869
613,612,-8.6588869
614,613,-7.8095999
615,614,-8.3842144
616,615,-8.9825087
617,616,-6.7852468
618,617,-10.074729
619,618,-7.2892013
620,619,-5.1294255
621,620,-5.6003022
622,621,-4.5924273
623,622,-7.447
624,623,-6.0440059
625,624,-6.3307986
626,625,-9.7409554
627,626,-6.6633453
628,627,-8.8794222
629,628,-8.6528912
630,629,-7.2109904
631,630,-6.518611
632,631,-7.7197938
633,632,-5.7224584
634,633,-5.6788568
636,635,-9.5394211
637,636,-5.4505124
638,637,-6.3253746
639,638,-7.1177282
640,639,-5.9920278
641,640,-6.551291
642,641,-6.2674937
643,642,-5.880548
644,643,-5.1678996
645,644,-5.7874708
646,645,-6.0889297
647,646,-5.7598128
648,647,-7.1872225
649,648,-5.727108
650,649,-5.9667134
651,650,-5.8976984
652,651,-6.4127336
653,652,-6.8901544
654,653,-5.637568
655,654,-6.3245082
656,655,-5.6202645
657,656,-5.8987174
658,657,-5.8038192
659,658,-6.2917013
660,659,-5.5295267
661,660,-6.1380677
662,661,-5.3090768
663,662,-8.4348764
664,663,-6.4440732
665,664,-5.6952724
666,665,-7.3377647
667,666,-7.4326091
668,667,-5.7093477
669,668,-7.0829344
670,669,-6.0580029
671,670,-6.3199129
672,671,-5.9204454
673,672,-8.3453074
674,673,-6.0479665
675,674,-6.1962061
676,675,-6.2091632
677,676,-8.6477795
678,677,-6.3180652
679,678,-8.3874693
680,679,-6.4531651
681,680,-6.3802533
682,681,-6.8533235
683,682,-8.8290405
684,683,-6.6375284
685,684,-7.7797036
686,685,-7.3908696
687,686,-9.908927
688,687,-8.1574516
689,688,-6.966536
690,689,-5.8112745
691,690,-4.506897
692,691,-5.5037713
693,692,-5.8406258
694,693,-5.4015613
695,694,-5.527751
696,695,-5.6182156
697,696,-6.0204248
698,697,-5.8390927
699,698,-5.6923785
700,699,-5.8945413
701,700,-6.6795979
702,701,-6.7338257
703,702,-7.1645951
704,703,-8.0208178
705,704,-7.3858414
706,705,-9.1691847
707,706,-8.9334602
708,707,-5.7793221
709,708,-5.4793839
710,709,-6.4653106
712,711,-6.6201835
713,712,-8.0900021
714,713,-7.975626
715,714,-6.3412986
716,715,-6.5917134
717,716,-5.3937802
718,717,-4.9393907
719,718,-5.2962594
720,719,-5.5876284
721,720,-6.1943593
722,721,-7.8111157
726,725,-4.969605
727,726,-6.8588982
728,727,-8.2638626
729,728,-5.757257
730,729,-6.4616065
731,730,-6.0498972
732,731,-6.3328905
733,732,-8.6814165
734,733,-5.4059429
735,734,-6.8970561
736,735,-6.0076194
737,736,-5.7927547
739,738,-5.1478276
740,739,-6.0064654
742,741,-6.4733658
743,742,-7.0224123
744,743,-7.9682512
745,744,-7.1258793
746,745,-6.1016583
748,747,-8.8656139
749,748,-8.9232836
750,749,-5.3008795
751,750,-8.0859261
752,751,-7.2371588
755,754,-9.5742645
756,755,-8.368804
757,756,-5.3182569
758,757,-7.8270421
759,758,-5.4303818
760,759,-6.1478648
761,760,-6.6140203
763,762,-5.6064019
764,763,-5.6228085
765,764,-5.5154057
766,765,-7.0360198
767,766,-5.7887945
768,767,-3.881988
769,768,-7.6811152
770,769,-10.006269
772,771,-4.6274118
773,772,-4.7210636
774,773,-5.7127104
775,774,-5.2709174
776,775,-4.4091091
777,776,-6.2604227
778,777,-6.2969856
779,778,-4.3841286
781,780,-4.8499517
782,781,-7.9309049
784,783,-6.1843886
785,784,-6.5761194
786,785,-4.013453
788,787,-4.9814243
789,788,-5.6580429
790,789,-7.4788718
791,790,-6.3320436
792,791,-6.3834834
793,792,-6.9858298
795,794,-7.1664672
796,795,-6.3528013
797,796,-9.5545626
798,797,-7.2820959
799,798,-8.1814051
801,800,-4.4915328
803,802,-8.9764032
805,804,-6.1553116
806,805,-6.2903275
808,807,-4.9092684
811,810,-8.8084736
812,811,-8.6294136
813,812,-6.1332502
814,813,-5.312664
815,814,-8.3139343
816,815,-4.4554687
817,816,-5.7127066
818,817,-9.9014359
819,818,-6.0509319
820,819,-4.8318615
821,820,-5.5637093
822,821,-9.92665
824,823,-5.5903478
825,824,-4.2657804
826,825,-5.3701625
827,826,-6.3990331
828,827,-5.9198232
829,828,-4.3373122
830,829,-5.9983773
831,830,-5.7267156
833,832,-5.8403802
834,833,-5.946692
835,834,-5.0674591
836,835,-5.2831068
837,836,-6.3773623
838,837,-5.4177041
839,838,-7.1546836
840,839,-7.2238574
841,840,-8.3834944
842,841,-6.1103578
843,842,-7.3182731
844,843,-6.0458212
845,844,-6.846549
846,845,-7.9840364
847,846,-6.0095935
848,847,-5.6913233
849,848,-7.8964696
850,849,-8.134366
851,850,-6.9222488
852,851,-4.2711802
853,852,-5.1593871
854,853,-6.0514932
855,854,-7.5565319
856,855,-5.5831032
857,856,-10.171807
858,857,-8.8856783
859,858,-4.7866364
860,859,-9.2718048
861,860,-7.7889271
862,861,-5.4133506
863,862,-6.3890386
864,863,-5.7780437
865,864,-5.720757
866,865,-7.8790665
867,866,-6.6508894
868,867,-5.8871064
869,868,-6.5072894
870,869,-7.2435555
871,870,-8.3691559
872,871,-6.2932448
873,872,-8.4102612
874,873,-5.1131649
875,874,-5.6775289
876,875,-4.4373989
877,876,-5.4321451
878,877,-8.9723063
879,878,-4.697567
880,879,-6.2188158
881,880,-6.4655485
882,881,-5.8210006
883,882,-5.2991786
884,883,-8.0057697
885,884,-5.1109519
886,885,-6.4764423
887,886,-7.5620461
888,887,-3.8918324
889,888,-7.9126129
890,889,-8.1917734
891,890,-5.5843
895,894,-8.5904303
896,895,-7.5446501
898,897,-7.3185134
899,898,-7.2321587
900,899,-7.0388098
901,900,-6.3680363
902,901,-8.0570879
904,903,-7.4933753
908,907,-6.3068118
909,908,-8.7190371
910,909,-8.1319838
911,910,-7.136323
912,911,-8.2600107
913,912,-8.0293179
914,913,-6.2514048
916,915,-9.3336439
917,916,-7.2710519
918,917,-6.9227915
919,918,-6.1883926
920,919,-6.0605822
922,921,-5.3051295
923,922,-6.2625275
924,923,-7.6872668
926,925,-6.4367948
930,929,-6.6587582
931,930,-6.9944491
932,931,-5.5933042
934,933,-6.7887149
935,934,-5.9453335
936,935,-6.7701907
937,936,-6.2691007
938,937,-6.7625556
940,939,-8.4855652
941,940,-8.5571632
944,943,-6.1726489
945,944,-5.9653716
947,946,-10.457006
950,949,-6.8049974
951,950,-9.8424187
952,951,-7.126554
953,952,-6.2415266
954,953,-5.9733686
955,954,-7.1054678
956,955,-8.7732258
959,958,-5.8415027
960,959,-7.392684
961,960,-8.5646696
962,961,-6.0919333
963,962,-8.0861034
964,963,-8.5713739
965,964,-6.2173438
966,965,-6.4820313
967,966,-8.3693352
968,967,-9.7741537
969,968,-5.5252562
970,969,-8.5428925
971,970,-6.2535582
972,971,-8.6407337
973,972,-5.0816555
974,973,-6.0044494
975,974,-9.3044491
976,975,-9.5303555
977,976,-9.0216122
978,977,-7.1359291
979,978,-8.841486
980,979,-7.6363869
981,980,-9.0441389
982,981,-7.91855
983,982,-9.0065107
984,983,-6.9991512
985,984,-8.1498089
986,985,-7.7035708
987,986,-8.367939
988,987,-9.019166
989,988,-3.5663426
990,989,-4.2969503
991,990,-3.665467
992,991,-8.6093798
993,992,-4.2637119
994,993,-9.0306883
995,994,-9.0066853
996,995,-7.410213
997,996,-6.3440881
998,997,-4.2517443
999,998,-3.530128
1000,999,-3.6948292
