Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Tanimoto_to_PFOS,Tanimoto_to_PFOA,Docking Score
CC[NH+](CC)CC.O=C([O-])C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,431.2419999999999,1.7023999999999997,145.40946962386005,53.8,1.0,3.0,7.0,0.0,0.2,0.2368421052631578,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(=O)[O-].[Ag+].[Ag+],453.7749999999999,-1.6129000000000004,120.3705493140403,80.25999999999999,0.0,4.0,4.0,0.0,0.2222222222222222,0.3333333333333333,
O=P([O-])(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],824.0560000000004,6.292000000000003,261.03346413590106,40.13,0.0,2.0,12.0,0.0,0.3214285714285714,0.3333333333333333,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc2c(c1)-c1nc-2nc2[n-]c(nc3nc(nc4[n-]c(n1)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc41)-c1cc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ccc1-3)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc21.[Cu+2],2048.2380000000007,25.44730000000002,670.8268202095718,105.54,0.0,6.0,24.0,9.0,0.16,0.1632653061224489,
C[N+](C)(C)C.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,519.151,7.516600000000005,154.60039658204613,0.0,0.0,0.0,3.0,0.0,0.1428571428571428,0.1481481481481481,
CC[NH3+].O=C([O-])C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,359.13499999999993,1.088,114.4162129635761,67.77,1.0,2.0,3.0,0.0,0.2,0.28125,
O=P([O-])(O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F.O=P([O-])(O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F.[NH4+],1240.205000000001,11.2692,368.66927988143146,175.67999999999998,3.0,6.0,24.0,0.0,0.1666666666666666,0.1707317073170731,
C[N+](C)(C)CCCNC(=O)C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[I-],788.2770000000003,2.7018000000000004,247.89769920556185,55.400000000000006,1.0,3.0,15.0,0.0,0.1886792452830188,0.2156862745098039,
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],472.101,0.8672,159.45397039085526,57.2,0.0,3.0,6.0,0.0,0.5416666666666666,0.3333333333333333,
C[N+](C)(C)C.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,373.2369999999999,2.279700000000001,119.38793677531044,57.2,0.0,3.0,3.0,0.0,0.4444444444444444,0.2666666666666666,
