Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings
O=[S@](/N=C/c1ccccc1F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,389.21399999999994,4.3340000000000005,129.31642192080685,29.43,0.0,1.0,5.0,1.0
C[N+](C)(CCC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],631.245,5.185600000000004,202.4496518113418,40.129999999999995,0.0,2.0,13.0,0.0
CN(CC1CO1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,369.2049999999999,2.0725000000000002,117.411988093538,49.910000000000004,0.0,3.0,6.0,1.0
FC(F)(CC1CO1)C(F)(F)CC1CO1,214.15799999999996,1.8348,78.17141559226603,25.06,0.0,2.0,5.0,2.0
OC(CC(O)(C(F)(F)F)C(F)(F)F)CC(O)(C(F)(F)F)C(F)(F)F,392.1359999999999,2.8389,124.02791403470526,60.69,3.0,3.0,4.0,0.0
CN(CCC[N+](C)(C)[O-])S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,542.3580000000001,4.341200000000004,178.87414572411762,60.44,0.0,3.0,12.0,0.0
C[N+](C)(CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],456.25200000000007,1.4225,155.57639112546767,69.23,1.0,3.0,10.0,0.0
C[N+](C)(CCC(=O)O)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1094.3520000000008,11.650899999999993,341.7074085572498,57.53,2.0,2.0,23.0,0.0
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,236.03299999999996,2.4044,70.1181297495515,20.23,1.0,1.0,0.0,0.0
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1002.1020000000007,12.461199999999998,291.40411619418535,37.3,1.0,1.0,16.0,0.0
Cc1ccc(S(=O)(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COS(=O)(=O)c2ccc(C)cc2)cc1,570.4760000000001,4.955440000000004,200.6282124388467,86.74000000000001,0.0,6.0,11.0,2.0
N#CC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,307.06199999999995,3.4083799999999997,96.13654167433725,23.79,0.0,1.0,0.0,1.0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,964.1410000000006,11.4334,286.3887748474789,37.3,1.0,1.0,17.0,0.0
C[N+](C)(CCO)CC(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,545.3380000000001,2.0317,177.1394273758437,86.63,3.0,4.0,12.0,0.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,694.1880000000004,10.024399999999998,212.51730321986076,0.0,0.0,0.0,13.0,0.0
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,546.114,7.452400000000004,165.54025471545887,0.0,0.0,0.0,9.0,0.0
C[N+](C)(C)CCCNS(=O)(=O)c1ccc(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)cc1,703.4350000000004,6.922200000000004,236.42402211533658,55.400000000000006,1.0,3.0,10.0,1.0
OB(O)c1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1,289.9429999999999,1.6557999999999995,102.166048804056,40.46,2.0,2.0,2.0,1.0
NS(=O)(=O)c1ccc(CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,532.278,3.689000000000001,174.31495114579047,89.25999999999999,2.0,3.0,8.0,1.0
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,790.1660000000005,9.377799999999999,239.0882381055456,55.760000000000005,1.0,3.0,16.0,0.0
O=C(O)c1cccc(C(F)(C(F)(F)F)C(F)(F)F)c1,290.1339999999999,3.674200000000001,101.00567524980681,37.3,1.0,1.0,2.0,1.0
FC(F)(F)C(F)(F)C(F)(F)OC1(F)C(F)(F)C1(F)F,316.041,3.7434,94.65810051090504,9.23,0.0,1.0,3.0,1.0
Fc1c(F)c(F)c2c(c1F)C(F)(F)C(F)(F)C2(F)Cl,314.534,4.3448,103.31348316237533,0.0,0.0,0.0,0.0,2.0
