PREFERRED NAME,CASRN,SMILES,MOLECULAR FORMULA,AVERAGE MASS,Canonical SMILES
"2,2,3,3,4,4,4-Heptafluorobutane-1,1-diol",375-21-3,OC(O)C(F)(F)C(F)(F)C(F)(F)F,C4H3F7O2,216.055,OC(O)C(F)(F)C(F)(F)C(F)(F)F
1-(Perfluoroheptyl)-dec-1-ene,52717-06-3,CCCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C17H19F15,508.315,CCCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Ethylammonium perfluoro-10-(trifluoromethyl)undecanoate,86917-47-7,CC[NH3+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C14H8F23NO2,659.186,CC[NH3+].O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
"2,2,3,3,4,4,5,5,6,6-Decafluorocyclohexan-1-one",1898-91-5,FC1(F)C(=O)C(F)(F)C(F)(F)C(F)(F)C1(F)F,C6F10O,278.049,O=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
tert-Butyl heptafluorobutanoate,425-24-1,CC(C)(C)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,C8H9F7O2,270.147,CC(C)(C)OC(=O)C(F)(F)C(F)(F)C(F)(F)F
"1,1,1,3,3,3-Hexafluoropropane-2,2-diol",677-71-4,OC(O)(C(F)(F)F)C(F)(F)F,C3H2F6O2,184.037,OC(O)(C(F)(F)F)C(F)(F)F
N-Ethylperfluoroethanesulfonamide,1270179-69-5,CCNS(=O)(=O)C(F)(F)C(F)(F)F,C4H6F5NO2S,227.15,CCNS(=O)(=O)C(F)(F)C(F)(F)F
Perfluoro-1-methylheptanesulfonic acid,927670-12-0,OS(=O)(=O)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF17O3S,500.13,O=S(=O)(O)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"3'-Nitro-4,4,4-trifluoro-3-trifluoromethylcrotonophenone",35443-86-8,[O-][N+](=O)C1=CC=CC(=C1)C(=O)C=C(C(F)(F)F)C(F)(F)F,C11H5F6NO3,313.155,O=C(C=C(C(F)(F)F)C(F)(F)F)c1cccc([N+](=O)[O-])c1
"4-(1,1,1,3,3,3-Hexafluoropropan-2-yl)phenol",63780-72-3,OC1=CC=C(C=C1)C(C(F)(F)F)C(F)(F)F,C9H6F6O,244.136,Oc1ccc(C(C(F)(F)F)C(F)(F)F)cc1
(Perfluoropropyl)methyl difluoroacetate,1365807-94-8,FC(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,C6H3F9O2,278.074,O=C(OCC(F)(F)C(F)(F)C(F)(F)F)C(F)F
"1-Bromo-2-(1,1,2,3,3,3-hexafluoropropoxy)benzene",52328-77-5,FC(C(F)(F)F)C(F)(F)OC1=CC=CC=C1Br,C9H5BrF6O,323.032,FC(C(F)(F)F)C(F)(F)Oc1ccccc1Br
"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoro-1-phenylheptan-1-one",78960-66-4,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)C1=CC=CC=C1,C13H5F13O,424.161,O=C(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"Methyl 4-(1,1,2,2-tetrafluoroethoxy)benzoate",93982-47-9,COC(=O)C1=CC=C(OC(F)(F)C(F)F)C=C1,C10H8F4O3,252.165,COC(=O)c1ccc(OC(F)(F)C(F)F)cc1
"Ethyl 2,2,3,3,4,4,5,5,6,6,7,7-dodecafluoroheptanoate",42287-85-4,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C9H6F12O2,374.126,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
Perfluorooctadecanesulfonic acid,51604-60-5,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C18HF37O3S,1000.2,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"4-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-2-methyl-1-nitrobenzene",238098-38-9,CC1=CC(=CC=C1[N+]([O-])=O)C(F)(C(F)(F)F)C(F)(F)F,C10H6F7NO2,305.152,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1[N+](=O)[O-]
(E)-Perfluorododec-10-ene-1-sulfonic acid,NOCAS_1032277,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(\F)=C(/F)C(F)(F)F,C12HF23O3S,662.16,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)/C(F)=C(\F)C(F)(F)F
"1-Chloro-2,3,3,4,4-pentafluorocyclobut-1-ene",377-94-6,FC1=C(Cl)C(F)(F)C1(F)F,C4ClF5,178.49,FC1=C(Cl)C(F)(F)C1(F)F
3-(Perfluorohexyl)‐1‐[(2‐hydroxyacetyl)sulfanyl]propan‐1‐one,NOCAS_1036460,OCC(=O)SC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H7F13O3S,466.21,O=C(CO)SC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"[4-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl)phenyl] diphenylphosphine",462996-04-9,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C28H18F17P,708.399,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1ccc(P(c2ccccc2)c2ccccc2)cc1
