PREFERRED NAME,CASRN,SMILES,MOLECULAR FORMULA,AVERAGE MASS,Canonical SMILES
"1,1,2,2,3-Pentafluoropropan-1-amine",88690-52-2,NC(F)(F)C(F)(F)CF,C3H4F5N,149.064,NC(F)(F)C(F)(F)CF
"1-(Chloromethoxy)-1,1,2,3,3,3-hexafluoropropane",56860-84-5,FC(C(F)(F)F)C(F)(F)OCCl,C4H3ClF6O,216.51,FC(C(F)(F)F)C(F)(F)OCCl
"Bis(3,3,4,4,5,5,6,6,6-nonafluorohexyl) but-2-enedioate",161975-99-1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16H10F18O4,608.223,O=C(C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"9-[(1,1,2,2-Tetrafluoroethoxy)methyl]nonadecane",165318-16-1,CCCCCCCCCCC(CCCCCCCC)COC(F)(F)C(F)F,C22H42F4O,398.571,CCCCCCCCCCC(CCCCCCCC)COC(F)(F)C(F)F
3-Methyl-4-(methylsulfanyl)phenyl pentafluoroethane-1-sulfonate,57728-77-5,CSC1=C(C)C=C(OS(=O)(=O)C(F)(F)C(F)(F)F)C=C1,C10H9F5O3S2,336.29,CSc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)F)cc1C
"4-[(2,2,3,3,3-Pentafluoropropyl)sulfanyl]benzene-1,2-diamine",54029-85-5,NC1=C(N)C=C(SCC(F)(F)C(F)(F)F)C=C1,C9H9F5N2S,272.24,Nc1ccc(SCC(F)(F)C(F)(F)F)cc1N
"2,2,3,3,4,4-Hexafluoropentane-1,5-diamine--hydrogen chloride (1/1)",58191-50-7,Cl.NCC(F)(F)C(F)(F)C(F)(F)CN,C5H9ClF6N2,246.58,Cl.NCC(F)(F)C(F)(F)C(F)(F)CN
Pentadecafluorooctanoic acid--piperazine (2/1),423-52-9,C1C[NH2+]CC[NH2+]1.[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C20H12F30N2O4,914.278,C1C[NH2+]CC[NH2+]1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Undecafluoro-N-(4-hydroxybutyl)-N-methyl-1-pentanesulfonamide,68239-72-5,CN(CCCCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H12F11NO3S,435.25,CN(CCCCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Tridecafluoro-N-(4-hydroxybutyl)-N-methylhexanesulphonamide,68239-74-7,CN(CCCCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H12F13NO3S,485.26,CN(CCCCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Difluoro(trifluoromethoxy)acetic acid--piperazine (1/1),2266-82-2,C1CNCCN1.OC(=O)C(F)(F)OC(F)(F)F,C7H11F5N2O3,266.168,C1CNCCN1.O=C(O)C(F)(F)OC(F)(F)F
N-Ethyl-N-((undecafluoropentyl)sulphonyl)glycine,68957-31-3,CCN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H8F11NO4S,435.21,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"(3-Chlorophenyl)[4-(1,2,2,2-tetrafluoroethoxy)phenyl]methanone",61547-44-2,FC(OC1=CC=C(C=C1)C(=O)C1=CC(Cl)=CC=C1)C(F)(F)F,C15H9ClF4O2,332.68,O=C(c1ccc(OC(F)C(F)(F)F)cc1)c1cccc(Cl)c1
Bis(trimethyl-3-(((tridecafluorohexyl)sulphonyl)amino)propylammonium) sulphate,70248-52-1,[O-]S([O-])(=O)=O.C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C24H32F26N4O8S3,1094.68,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.O=S(=O)([O-])[O-]
5-(2-Iodoethenyl)-perfluoro-3-oxapentanesulfonyl fluoride,124887-86-1,FC(F)(OC(F)(F)C(F)(F)S(F)(=O)=O)C(F)(F)C=CI,C6H2F9IO3S,452.03,O=S(=O)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C=CI
"Perfluoro(4-[(4-ethyl-3,4-dimethylhex-2-en-2-yl)oxy])benzene-1-sulfonate tributylammonium",70729-63-4,CCCC[NH+](CCCC)CCCC.[O-]S(=O)(=O)C1=CC=C(OC(=C(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F)C=C1,C28H32F19NO4S,839.6,CCCC[NH+](CCCC)CCCC.O=S(=O)([O-])c1ccc(OC(=C(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F)cc1
