Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Docking Score
O=C(O)C(F)OC(F)(F)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,476.069,3.8059,146.13482346934728,83.45000000000002,1.0,6.0,11.0,0.0,-6.7296076
CC1CCC(C(F)(C(F)(F)F)C(F)(F)F)C(O)C1,282.199,3.6164000000000014,98.97088047654944,20.23,1.0,1.0,1.0,1.0,-5.5261097
CCOP(=O)(OCC)C1=C(P(=O)(OCC)OCC)C(F)(F)C(F)(F)C1(F)F,448.23300000000006,5.649700000000004,151.79639638315595,71.06,0.0,6.0,10.0,1.0,-7.5385499
CC1=CC2=S(S1)SC(C)=C2C1(C(C(F)(F)F)C(F)(F)F)SC(=C(C(F)(F)F)C(F)(F)F)S1,576.5400000000001,9.182399999999998,190.33579415264865,0.0,0.0,4.0,2.0,3.0,-7.8636413
NCCCSC(F)(F)C(F)(F)F,209.183,2.2235000000000005,70.48969722242511,26.02,1.0,2.0,4.0,0.0,-4.8538418
C=C(Cl)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,452.594,5.411000000000001,145.42936293408474,26.3,0.0,2.0,8.0,0.0,-6.7565885
CC(SC(F)(F)C(F)(F)F)C(=O)O,224.15,2.3478,74.10556237765219,37.3,1.0,2.0,3.0,0.0,-4.8921633
CN(O)C(=O)C(F)(F)C(F)(F)C(F)(F)F,243.07799999999995,1.6669000000000005,78.02739532782076,40.54,1.0,2.0,2.0,0.0,-4.7365055
C=CC(=O)OCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)OCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,723.5670000000006,5.790900000000005,266.2083805541485,140.33999999999995,2.0,8.0,15.0,2.0,-10.165498
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F,416.055,5.014000000000001,124.0501263514032,9.23,0.0,1.0,3.0,1.0,-5.6285882
