Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Tanimoto_to_PFOS,Tanimoto_to_PFOA,Docking Score
FC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[Si](Cl)(Cl)Cl,499.5289999999999,6.647900000000001,149.0182070079088,0.0,0.0,0.0,7.0,0.0,0.2424242424242424,0.25,-6.6294489
CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,585.2320000000001,4.689600000000001,181.0440815507964,74.68,1.0,3.0,11.0,0.0,0.4,0.3333333333333333,-8.0448751
O=C(O)c1cnc(C(F)(F)C(F)(F)F)nc1C1CC1,282.16800000000006,2.7063000000000006,102.83795348111136,63.08,1.0,3.0,3.0,2.0,0.1304347826086956,0.1860465116279069,-6.1442957
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,442.118,4.923600000000001,137.78182843084315,26.3,0.0,2.0,7.0,0.0,0.3125,0.4642857142857143,-6.6862669
O=C(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,266.03399999999993,2.9507,80.01589561472208,17.07,0.0,1.0,2.0,0.0,0.3076923076923077,0.375,-4.7811599
FC(F)(F)C(F)(F)[Se][Se]C(F)(F)C(F)(F)F,395.944,2.62,92.6029076677199,0.0,0.0,0.0,3.0,0.0,0.1666666666666666,0.1739130434782608,-5.4921765
FC1(F)OC(F)(F)C(F)(F)O1,182.019,1.7691,55.6836069796647,18.46,0.0,2.0,0.0,1.0,0.037037037037037,0.0384615384615384,-4.0588307
FC(F)(F)C1(C(F)(F)F)OB(c2ccccc2)OC1(C(F)(F)F)C(F)(F)F,419.958,4.155399999999999,141.7213439629695,18.46,0.0,2.0,1.0,2.0,0.0789473684210526,0.1111111111111111,-5.7995396
COP(=O)(OC)OC(C#N)C(F)(F)C(F)(F)C(F)(F)F,333.09599999999995,3.128980000000001,107.37047757915724,68.55000000000001,0.0,5.0,6.0,0.0,0.175,0.1794871794871795,-6.0975256
C[Si](C)(C)C(F)(F)C(F)C(F)(F)F,224.22,3.399500000000001,72.93816126274712,0.0,0.0,0.0,2.0,0.0,0.0967741935483871,0.1,-5.4770393
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,468.1559999999999,5.479800000000002,149.8221096274521,26.3,0.0,2.0,8.0,0.0,0.2777777777777778,0.3235294117647059,-6.8353968
O=C(CCCCc1ccccc1)C(F)(F)C(F)(F)F,280.236,4.166100000000003,106.97519703494817,17.07,0.0,1.0,6.0,1.0,0.1463414634146341,0.2432432432432432,-6.1233468
CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,406.182,5.541900000000003,131.65417763934354,9.23,0.0,1.0,9.0,0.0,0.2352941176470588,0.2424242424242424,-6.5093307
